id,created_at,text,tweetlink
8.70025E+17,5/31/17 17:10,UPDATE: NEC train #3896 the 4:49pm from Metuchen is now up to 20 min. late due to an earlier disabled train ahead.,https://twitter.com/NJTRANSIT_NEC/status/870024789536026624
8.70024E+17,5/31/17 17:09,"UPDATE: NEC train #3860, the 4:40pm from Metuchen, is now up to 25 min. late due to an earlier mechanical problem.",https://twitter.com/NJTRANSIT_NEC/status/870024457028386817
8.70024E+17,5/31/17 17:07,"UPDATE: NEC train #3860, the 4:40pm from Metuchen, is now up to 25 min. late due to a mechanical problem. An update will follow.",https://twitter.com/NJTRANSIT_NEC/status/870023850783760384
8.70022E+17,5/31/17 17:01,NEC train #3896 the 4:49pm from Metuchen is up to 10 min. late due to a disabled train ahead. An update will follow.,https://twitter.com/NJTRANSIT_NEC/status/870022412498108416
8.7002E+17,5/31/17 16:52,"NEC train #3860, the 4:40pm from Metuchen, is up to 10 min. late due to a mechanical problem. An update will follow.",https://twitter.com/NJTRANSIT_NEC/status/870020073305460736
8.70013E+17,5/31/17 16:25,Westbound trains are now operating on/close to schedule.,https://twitter.com/NJTRANSIT_NEC/status/870013313895223297
8.70013E+17,5/31/17 16:24,Eastbound trains will no longer low level at Elizabeth &amp; will continue to  bypass N. Elizabeth until further notice.,https://twitter.com/NJTRANSIT_NEC/status/870013162380066816
8.6999E+17,5/31/17 14:52,Eastbound trains will low level at Elizabeth &amp; will bypass N. Elizabeth until further notice.  Westb... https://t.co/eZoqbGkzZu,https://twitter.com/NJTRANSIT_NEC/status/869989990553407492
8.6999E+17,5/31/17 14:51,NEC &amp; NJCL train service has resumed in both directions between Elizabeth and Newark Penn Station.,https://twitter.com/NJTRANSIT_NEC/status/869989708314460161
8.69983E+17,5/31/17 14:23,NEC &amp; NJCL train service is temporarily suspended in both directions between  Elizabeth and Newark P... https://t.co/eZoqbGkzZu,https://twitter.com/NJTRANSIT_NEC/status/869982719475802112
8.69933E+17,5/31/17 11:05,"NEC train #3835, the 10:53am from Newark PS is up to 20 min. late due to an earlier switch problem.",https://twitter.com/NJTRANSIT_NEC/status/869932902871482368
8.69918E+17,5/31/17 10:05,Train service in/out of Penn Station New York is now operating on or close schedule with residual delays to trains already enroute.,https://twitter.com/NJTRANSIT_NEC/status/869917647516741633
8.69893E+17,5/31/17 8:28,Train service in/out of NYPS is subject to up to 30 minute delays due to congestion caused by the sp... https://t.co/eZoqbGkzZu,https://twitter.com/NJTRANSIT_NEC/status/869893244385083392
8.6987E+17,5/31/17 6:55,"Update: NEC train #3705, the 6:31am from PSNY departed 25 min. late due to earlier mechanical problems.",https://twitter.com/NJTRANSIT_NEC/status/869870034734071808
