id,created_at,text,tweetlink,created_at_date,reason,train_line,blame
856552538232979456,2017-04-24 12:56:53,"RVL train #5123 the 12:08pm from Newark Penn is up to 45 min. late, due to Amtrak track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/856552538232979456,2017-04-24 12:56:53,due to Amtrak track maintenance,RVL,
856491619360673792,2017-04-24 08:54:49,"NEC, NJCL, RVL, &amp; Midtown Direct trains are subject to 15 minute delays in/out of NYPS due to ongoing Amtrak track maintenance in New York.",https://twitter.com/NJTRANSIT_RVL/status/856491619360673792,2017-04-24 08:54:49,due to ongoing Amtrak track maintenance in New York,RVL,
855935172218376194,2017-04-22 20:03:42,"Until further notice, weekend trains operating in/out of New York are subject to delays of up to 15 ... https://t.co/xLShO9aIcS",https://twitter.com/NJTRANSIT_RVL/status/855935172218376194,2017-04-22 20:03:42,,RVL,
855496225524772865,2017-04-21 14:59:29,"RVL train #5179, the 2:39pm from NYPS, is up to 15 min. late due to earlier police assistance.",https://twitter.com/NJTRANSIT_RVL/status/855496225524772865,2017-04-21 14:59:29,due to earlier police assistance,RVL,Police/Fire activity
855480101592592388,2017-04-21 13:55:24,Amtrak completed repairs associated with todayâs delays into NY and NPS on the RVL. Svc is expecte... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/855480101592592388,2017-04-21 13:55:24,,RVL,
855479150282502144,2017-04-21 13:51:38,Amtrak has completed the repairs associated with todayâs delays into New York and into Newark on t... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/855479150282502144,2017-04-21 13:51:38,,RVL,
855451269716221953,2017-04-21 12:00:50,Trains between NPS &amp; PSNY are subject to up to 20 minute delays due to Amtrak signal problem/congest... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/855451269716221953,2017-04-21 12:00:50,due to Amtrak signal problem/congest,RVL,NJT signal problem
855444428596662273,2017-04-21 11:33:39,Trains between NPS &amp; PSNY are subject to up to 20 minutes delays due to Amtrak signal problem/conges... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/855444428596662273,2017-04-21 11:33:39,due to Amtrak signal problem/conges,RVL,NJT signal problem
855442501896949760,2017-04-21 11:26:00,Trains between NPS and PSNY remain delayed at 20 minutes due to Amtrak signal problem/congestion in ... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/855442501896949760,2017-04-21 11:26:00,due to Amtrak signal problem/congestion in ,RVL,NJT signal problem
855425229518188544,2017-04-21 10:17:22,Trains between NPS and PSNY remain delayed at 30 minutes due to Amtrak signal problem/congestion in ... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/855425229518188544,2017-04-21 10:17:22,due to Amtrak signal problem/congestion in ,RVL,NJT signal problem
855418067958059008,2017-04-21 09:48:54,Raritan Valley Line trains are subject to up to 30 minute delays between Newark and High Bridge in b... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/855418067958059008,2017-04-21 09:48:54,,RVL,
855410249217560576,2017-04-21 09:17:50,RVL trains are subject to up to 30 minute delays between Newark and High Bridge in both directions d... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/855410249217560576,2017-04-21 09:17:50,,RVL,
855410104245649408,2017-04-21 09:17:16,"RVL train #5902 the 8:32am from Plainfield is up to 45 min. late, due to operational issues.",https://twitter.com/NJTRANSIT_RVL/status/855410104245649408,2017-04-21 09:17:16,due to operational issues,RVL,NJT operational issues
855397677944758274,2017-04-21 08:27:53,"RVL train #5416, the 7:54am Newark Penn arrival is up to 40 min. late due to an Amtrak switch problem near Newark.",https://twitter.com/NJTRANSIT_RVL/status/855397677944758274,2017-04-21 08:27:53,due to an Amtrak switch problem near Newark,RVL,NJT switch problem
855393244552863744,2017-04-21 08:10:16,"RVL train #5714, the 7:40am Newark Penn arrival is up to 40 min. late due to an Amtrak switch problem near Newark.",https://twitter.com/NJTRANSIT_RVL/status/855393244552863744,2017-04-21 08:10:16,due to an Amtrak switch problem near Newark,RVL,NJT switch problem
855386435670638593,2017-04-21 07:43:13,Raritan Valley Line trains are subject to up to 15 minute delays in both directions due to an Amtrak switch problem near Newark.,https://twitter.com/NJTRANSIT_RVL/status/855386435670638593,2017-04-21 07:43:13,due to an Amtrak switch problem near Newark,RVL,NJT switch problem
855381525734588418,2017-04-21 07:23:42,"RVL train #5710, the 7:10am Newark Penn arrival is up to 20 min. late due to signal problem.",https://twitter.com/NJTRANSIT_RVL/status/855381525734588418,2017-04-21 07:23:42,due to signal problem,RVL,NJT signal problem
854679096051339264,2017-04-19 08:52:30,"NEC, NJCL, RVL and MidTown Direct trains are subject to up to 30 minute delays in and out of NYPS, d... https://t.co/xLShO9aIcS",https://twitter.com/NJTRANSIT_RVL/status/854679096051339264,2017-04-19 08:52:30,,RVL,
854383247530352640,2017-04-18 13:16:54,"RVL train #5175 the 1:08am from Newark Penn is up to 10 min. late, due to operational issues.",https://twitter.com/NJTRANSIT_RVL/status/854383247530352640,2017-04-18 13:16:54,due to operational issues,RVL,NJT operational issues
853059250586873857,2017-04-14 21:35:49,Trains in and out of New York remains subject to up to 2 hour delays due to an earlier disabled NJ T... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/853059250586873857,2017-04-14 21:35:49,due to an earlier disabled NJ T,RVL,
853035537636175881,2017-04-14 20:01:35,Trains in and out of New York are now subject to up to 2 hour delays due to an earlier disabled NJ T... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/853035537636175881,2017-04-14 20:01:35,due to an earlier disabled NJ T,RVL,
853019928697458688,2017-04-14 18:59:34,Trains in and out of New York are now subject to up to 90 minute delays due to an earlier disabled N... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/853019928697458688,2017-04-14 18:59:34,due to an earlier disabled N,RVL,
853000146510106626,2017-04-14 17:40:57,Trains in and out of New York are now subject to up to 90 minute delays due to a disabled NJ TRANSIT... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/853000146510106626,2017-04-14 17:40:57,due to a disabled NJ TRANSIT,RVL,
852995034072920064,2017-04-14 17:20:38,Trains in and out of New York are now subject to up to 45 minute delays due to a disabled NJ TRANSIT... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/852995034072920064,2017-04-14 17:20:38,due to a disabled NJ TRANSIT,RVL,
852984312328855553,2017-04-14 16:38:02,Trains in and out of New York are now subject to up to 45 minute delays due to an Amtrak overhead po... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/852984312328855553,2017-04-14 16:38:02,due to an Amtrak overhead po,RVL,
852970090597429248,2017-04-14 15:41:31,Trains in and out of New York are subject to up to 30 minute delays due to an Amtrak overhead power ... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/852970090597429248,2017-04-14 15:41:31,due to an Amtrak overhead power ,RVL,
852592551525789696,2017-04-13 14:41:19,"RVL train #5438, the 2:28pm from Cranford is up to 10 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/852592551525789696,2017-04-13 14:41:19,due to track maintenance,RVL,
852576868691841024,2017-04-13 13:39:00,"RVL train #5176, the 1:24pm from Garwood is up to 15 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/852576868691841024,2017-04-13 13:39:00,due to track maintenance,RVL,
852562161327124480,2017-04-13 12:40:33,"RVL train #5134, the 12:28pm from Cranford is up to 20 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/852562161327124480,2017-04-13 12:40:33,due to track maintenance,RVL,
852519528839958529,2017-04-13 09:51:09,"RVL train #5126 the 9:46am from Newark Penn is up to 10 min. late, due to earlier track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/852519528839958529,2017-04-13 09:51:09,due to earlier track maintenance,RVL,
852516582706335744,2017-04-13 09:39:26,"RVL train #5415 the 9:23am from Cranford is up to 15 min. late, due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/852516582706335744,2017-04-13 09:39:26,due to track maintenance,RVL,
852215235075334144,2017-04-12 13:42:00,"RVL train #5176, the 12:28pm from Cranford is up to 20 min. late, due to programmed maintenance.",https://twitter.com/NJTRANSIT_RVL/status/852215235075334144,2017-04-12 13:42:00,due to programmed maintenance,RVL,
852170709577199616,2017-04-12 10:45:04,"RVL train #5719, the 10:34am from Fanwood is 10 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/852170709577199616,2017-04-12 10:45:04,due to track maintenance,RVL,
852170058650529792,2017-04-12 10:42:29,"RVL train #5170, the 10:26am from Cranford is up to 20 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/852170058650529792,2017-04-12 10:42:29,due to track maintenance,RVL,
851900568163450881,2017-04-11 16:51:37,"RVL train #5431, the 4:35pm from Westfield, is up to 15 min. late due to an operational issue.",https://twitter.com/NJTRANSIT_RVL/status/851900568163450881,2017-04-11 16:51:37,due to an operational issue,RVL,NJT operational issues
851856250249904129,2017-04-11 13:55:31,"RVL train #5175, the 1:40pm from Plainfield is up to 15 min. late, due to an earlier operational issue.",https://twitter.com/NJTRANSIT_RVL/status/851856250249904129,2017-04-11 13:55:31,due to an earlier operational issue,RVL,NJT operational issues
851777439151927297,2017-04-11 08:42:21,"RVL train #5413, the 8:28am from Fanwood is up to 10 min. late due to an operational issue.",https://twitter.com/NJTRANSIT_RVL/status/851777439151927297,2017-04-11 08:42:21,due to an operational issue,RVL,NJT operational issues
